Name,Location,Year,Car_Age,Price
Honda Jazz 1.5 VX i DTEC,Pune,2017,8,8.0
Audi A4 35 TDI Premium,Coimbatore,2016,9,24.74
Hyundai Grand i10 CRDi Sportz Celebration Edition,Kochi,2017,8,5.5
Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,Delhi,2013,12,36.0
Toyota Innova 2.5 G (Diesel) 7 Seater,Coimbatore,2013,12,11.79
Nissan Sunny 2011-2014 XL,Jaipur,2011,14,3.0
Skoda Laura Ambiente 2.0 TDI CR AT,Bangalore,2011,14,6.75
Chevrolet Aveo 1.4 LS,Jaipur,2006,19,1.4
Honda Mobilio V i DTEC,Mumbai,2014,11,5.75
Maruti Ritz VDi,Hyderabad,2010,15,3.4
Volkswagen Polo Petrol Highline 1.2L,Coimbatore,2011,14,4.89
Nissan Terrano XL,Mumbai,2013,12,4.95
Maruti A-Star AT Vxi Aktiv,Coimbatore,2013,12,3.49
Honda City 1.5 S MT,Pune,2014,11,6.35
Hyundai Grand i10 AT Asta,Coimbatore,2017,8,7.08
Jaguar XE 2.0L Diesel Prestige,Hyderabad,2017,8,38.0
Mahindra Scorpio VLX,Kolkata,2012,13,6.25
Mercedes-Benz New C-Class C 200 Kompressor Elegance AT,Mumbai,2011,14,10.15
Skoda Superb Elegance 1.8 TSI AT,Delhi,2014,11,10.75
Chevrolet Cruze LTZ AT,Pune,2012,13,4.65
Mahindra Scorpio VLX,Delhi,2010,15,4.75
Hyundai Verna 1.6 SX VTVT (O),Coimbatore,2015,10,7.78
Hyundai i20 1.4 Asta CRDi with AVN,Hyderabad,2016,9,6.75
Honda City ZX CVT,Hyderabad,2008,17,2.99
Hyundai i10 Magna,Kolkata,2013,12,2.35
Honda Amaze S i-Dtech,Delhi,2013,12,3.65
Maruti Wagon R LXI,Delhi,2012,13,2.74
Honda Brio S MT,Jaipur,2013,12,3.5
Hyundai i20 1.2 Sportz Option,Kochi,2014,11,4.76
Volkswagen Vento 2013-2015 1.6 Comfortline,Kochi,2016,9,6.2
Skoda Octavia Rider 1.9 TDI MT,Pune,2008,17,2.35
Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde,Mumbai,2014,11,24.5
Renault Duster Petrol RxL,Pune,2013,12,6.0
Hyundai EON Sportz,Hyderabad,2017,8,3.65
Maruti Swift VXI,Coimbatore,2016,9,6.26
Audi Q5 3.0 TDI Quattro Technology,Mumbai,2015,10,32.95
Hyundai i20 1.2 Spotz,Coimbatore,2018,7,7.8
Honda Brio S MT,Bangalore,2014,11,4.25
Maruti Swift Dzire ZXi,Kochi,2014,11,4.86
Hyundai Grand i10 1.2 Kappa Magna,Delhi,2017,8,4.9
Mahindra Xylo E8 ABS BS IV,Coimbatore,2014,11,7.06
Volkswagen Polo GTI,Delhi,2015,10,4.5
Maruti Alto K10 VXI,Coimbatore,2011,14,3.22
Volkswagen Polo Diesel Comfortline 1.2L,Kolkata,2014,11,3.25
Hyundai Grand i10 Sportz,Delhi,2016,9,4.53
Mercedes-Benz New C-Class C 220 CDI Elegance AT,Coimbatore,2017,8,34.78
Hyundai Verna 1.6 SX VTVT AT,Pune,2014,11,6.5
Fiat Punto EVO 1.2 Emotion,Chennai,2010,15,2.25
Toyota Innova 2.5 VX (Diesel) 8 Seater BS IV,Pune,2011,14,8.0
Mahindra TUV 300 2015-2019 mHAWK100 T8 AMT,Kochi,2017,8,8.37
Volkswagen Polo 1.5 TDI Comfortline,Coimbatore,2015,10,5.39
BMW 5 Series 520d Luxury Line,Kochi,2018,7,37.3
Mercedes-Benz GLE 350d,Coimbatore,2018,7,70.8
Mercedes-Benz M-Class ML 350 CDI,Mumbai,2012,13,22.25
Hyundai Grand i10 1.2 Kappa Sportz,Kochi,2018,7,6.03
Skoda Superb Elegance 1.8 TSI AT,Mumbai,2011,14,4.9
Hyundai i10 Sportz AT,Chennai,2013,12,3.96
Hyundai i20 1.4 CRDi Asta,Hyderabad,2011,14,4.6
Mahindra Scorpio VLX,Mumbai,2011,14,5.5
Honda Brio V MT,Mumbai,2013,12,3.25
Hyundai i20 1.2 Magna Executive,Jaipur,2017,8,6.25
Ford Endeavour 4x2 XLT Limited Edition,Pune,2007,18,3.0
Hyundai Verna CRDi SX,Chennai,2011,14,4.25
Toyota Fortuner 3.0 Diesel,Pune,2011,14,12.25
BMW X1 sDrive20d,Pune,2011,14,10.95
Toyota Fortuner 4x2 AT,Delhi,2013,12,16.5
Honda Amaze V CVT Petrol,Pune,2018,7,7.8
Hyundai i10 Era 1.1,Kochi,2013,12,3.7
Hyundai i20 1.2 Sportz,Hyderabad,2012,13,4.0
BMW 3 Series 320d GT Luxury Line,Mumbai,2015,10,26.75
Audi Q3 35 TDI Quattro Premium Plus,Coimbatore,2016,9,28.03
Maruti Swift VXI Optional,Kochi,2017,8,5.44
Maruti Baleno Delta Automatic,Delhi,2017,8,6.2
Hyundai Accent GLE,Kolkata,2005,20,0.9
Maruti Ritz LXi,Mumbai,2016,9,3.95
Tata Nano Lx,Pune,2011,14,0.44
Ford Figo Diesel EXI,Ahmedabad,2012,13,2.75
Volkswagen Passat Diesel Highline 2.0 TDI,Hyderabad,2011,14,7.5
Fiat Linea Emotion Pack (Diesel),Chennai,2010,15,2.5
Mahindra Xylo D4,Hyderabad,2015,10,5.0
Maruti Wagon R VXI,Hyderabad,2013,12,3.6
Toyota Etios G Safety,Kochi,2012,13,3.99
Hyundai Grand i10 Sportz,Coimbatore,2015,10,5.64
Toyota Innova 2.5 VX (Diesel) 8 Seater BS IV,Pune,2014,11,12.0
Tata Indica V2 DLS TC,Kolkata,2008,17,0.7
BMW 3 Series 320d Sport Line,Mumbai,2015,10,19.0
Ford Endeavour 3.2 Titanium AT 4X4,Delhi,2017,8,30.48
Maruti Ciaz Zeta,Mumbai,2017,8,8.2
Ford Figo 1.5D Titanium Plus MT,Kolkata,2015,10,7.55
Chevrolet Aveo U-VA 1.2 LS,Pune,2007,18,0.99
Honda City 1.5 V AT,Delhi,2011,14,4.15
Nissan Sunny XL,Chennai,2016,9,6.2
Maruti Swift Dzire VXI,Kolkata,2016,9,4.4
Ford Figo Diesel Titanium,Kolkata,2012,13,2.1
Fiat Grande Punto 1.3 Emotion (Diesel),Jaipur,2011,14,2.2
Hyundai Elite i20 Petrol Asta,Coimbatore,2018,7,8.34
Maruti Swift Dzire VDI,Kolkata,2014,11,4.35
Ford Ecosport 1.5 DV5 MT Titanium,Hyderabad,2014,11,6.8
Maruti Swift Dzire VDi,Jaipur,2010,15,3.3
Hyundai Grand i10 Sportz,Kochi,2016,9,5.04
Ford Endeavour 3.0L 4X4 AT,Hyderabad,2012,13,9.2
Volkswagen Polo Diesel Highline 1.2L,Hyderabad,2014,11,5.7
Mahindra TUV 300 2015-2019 mHAWK100 T8,Kochi,2018,7,8.48
BMW X6 xDrive 40d,Hyderabad,2013,12,48.0
Renault Duster 110PS Diesel RxZ,Hyderabad,2012,13,6.1
Maruti Wagon R LXI,Ahmedabad,2010,15,2.75
Maruti Ertiga SHVS VDI,Pune,2017,8,8.0
Maruti Alto LXi BSIII,Jaipur,2010,15,1.85
Maruti Wagon R AMT VXI Option,Jaipur,2015,10,3.85
Maruti Eeco 7 Seater Standard,Coimbatore,2017,8,4.74
Renault Duster 110PS Diesel RxL,Kochi,2013,12,5.63
Maruti Zen Estilo 1.1 LX BSIII,Kochi,2011,14,2.62
Renault Duster Petrol RxL,Kochi,2015,10,4.9
Honda Civic 2006-2010 1.8 S MT,Chennai,2006,19,2.65
Mahindra XUV500 W8 2WD,Delhi,2012,13,5.99
Mahindra Verito 1.5 D6 BSIV,Chennai,2011,14,2.4
Renault KWID Climber 1.0 MT,Delhi,2017,8,4.25
Porsche Cayenne Diesel,Mumbai,2013,12,40.0
Maruti Swift DDiS VDI,Pune,2008,17,2.7
Datsun GO T Option,Hyderabad,2016,9,2.99
Hyundai i20 1.2 Magna,Chennai,2011,14,3.4
BMW 5 Series 2013-2017 520d Luxury Line,Coimbatore,2016,9,30.8
Maruti Ertiga ZDI,Mumbai,2012,13,5.85
Hyundai Grand i10 Magna,Jaipur,2014,11,4.0
BMW 3 Series 330i,Coimbatore,2011,14,14.12
Chevrolet Cruze LTZ,Mumbai,2011,14,4.55
Mercedes-Benz M-Class ML 350 4Matic,Pune,2015,10,38.0
Maruti Ritz LDi,Jaipur,2011,14,2.9
Mercedes-Benz New C-Class C 200 Kompressor Elegance AT,Pune,2007,18,6.0
Hyundai i20 1.2 Magna Executive,Kochi,2016,9,6.95
Hyundai EON 1.0 Kappa Magna Plus Optional,Kolkata,2014,11,2.75
Maruti Swift VDI,Pune,2014,11,5.1
Hyundai i20 Sportz 1.2,Chennai,2017,8,6.75
Maruti Ritz ZXi,Mumbai,2014,11,3.69
Maruti Swift VDI,Hyderabad,2013,12,5.45
Honda WRV i-VTEC VX,Kochi,2018,7,9.29
Hyundai Xcent 1.2 Kappa AT S Option,Chennai,2015,10,4.0
Honda Amaze E i-Vtech,Kolkata,2013,12,2.9
Hyundai Verna 1.6 SX VTVT (O),Pune,2013,12,5.25
Honda City V MT,Mumbai,2014,11,5.75
Hyundai Creta 1.6 SX Plus Dual Tone Petrol,Coimbatore,2017,8,13.12
Mahindra XUV500 W8 2WD,Kochi,2014,11,7.83
Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2013,12,10.4
Maruti Swift VDI,Pune,2012,13,4.35
Maruti Wagon R VXI AMT,Coimbatore,2017,8,5.23
Hyundai Grand i10 1.2 Kappa Asta,Coimbatore,2016,9,6.01
Honda Amaze VX i-DTEC,Hyderabad,2014,11,4.4
BMW 3 Series 320d Highline,Chennai,2010,15,12.75
Ford Figo Petrol Titanium,Delhi,2011,14,2.4
Volkswagen Ameo 1.2 MPI Trendline,Kochi,2018,7,5.71
Ford Ecosport 1.5 DV5 MT Trend,Kochi,2015,10,5.49
Honda City 1.3 EXI,Pune,2004,21,1.3
Mahindra XUV500 W6 2WD,Kolkata,2014,11,8.5
Toyota Fortuner 4x2 Manual,Delhi,2012,13,12.99
Hyundai Grand i10 1.2 Kappa Magna,Kolkata,2017,8,5.0
Maruti Dzire AMT ZDI Plus,Pune,2017,8,9.0
Maruti Swift VDI,Kochi,2016,9,5.22
Volkswagen Polo Petrol Highline 1.2L,Pune,2012,13,3.8
Toyota Etios Liva 1.2 VX Dual Tone,Coimbatore,2019,6,7.27
Maruti Swift VXI,Mumbai,2016,9,5.1
Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance,Bangalore,2013,12,29.0
Maruti Wagon R VXI,Pune,2013,12,2.9
Tata Nano Lx BSIV,Kochi,2012,13,1.38
Skoda Laura 1.8 TSI Ambiente,Bangalore,2011,14,5.5
Volkswagen Polo GT TSI,Mumbai,2016,9,7.25
Hyundai Verna 1.6 SX,Coimbatore,2014,11,6.98
Tata Bolt Quadrajet XE,Hyderabad,2017,8,5.25
Hyundai EON D Lite Plus,Kolkata,2013,12,1.95
Audi A4 2.0 TDI 177 Bhp Premium Plus,Bangalore,2014,11,24.5
Toyota Innova 2.5 GX (Diesel) 7 Seater,Kochi,2013,12,8.31
Mercedes-Benz M-Class ML 350 CDI,Hyderabad,2012,13,36.0
Hyundai Xcent 1.1 CRDi S,Pune,2015,10,5.5
Honda Accord 2.4 AT,Kochi,2011,14,5.89
Volkswagen Vento 1.5 TDI Highline,Kochi,2016,9,7.95
Hyundai i20 Sportz Petrol,Mumbai,2010,15,2.75
Hyundai Elantra CRDi SX,Jaipur,2012,13,6.25
Ford Figo Diesel Titanium,Hyderabad,2015,10,4.95
Hyundai i20 1.2 Magna Executive,Kochi,2019,6,6.27
Hyundai Verna 1.6 CRDi SX,Kolkata,2017,8,8.65
Hyundai Grand i10 Asta,Kolkata,2014,11,3.5
Audi Q5 2.0 TDI,Hyderabad,2015,10,35.0
Maruti Swift Dzire ZXi,Kolkata,2015,10,4.45
Hyundai i20 Magna,Kolkata,2012,13,2.65
Mahindra KUV 100 mFALCON D75 K4 Plus 5str,Kolkata,2017,8,4.7
Hyundai Elantra 1.6 SX Option AT,Ahmedabad,2014,11,8.9
Jeep Compass 2.0 Limited Option Black,Mumbai,2017,8,17.45
Maruti Vitara Brezza VDi Option,Coimbatore,2017,8,9.58
Toyota Corolla Altis 1.8 GL,Kochi,2012,13,6.22
Mahindra XUV500 W8 2WD,Kolkata,2013,12,7.8
BMW X1 xDrive 20d xLine,Mumbai,2016,9,27.75
Hyundai i20 Magna 1.4 CRDi,Pune,2015,10,7.0
Mercedes-Benz GLE 350d,Coimbatore,2017,8,64.87
Chevrolet Cruze LTZ,Bangalore,2013,12,6.5
Hyundai i20 1.2 Magna,Jaipur,2011,14,2.7
Honda Brio S MT,Mumbai,2012,13,2.5
Nissan Evalia 2013 XL,Hyderabad,2013,12,3.9
Volkswagen Polo Petrol Trendline 1.2L,Delhi,2015,10,3.95
Hyundai i10 Sportz 1.2,Chennai,2010,15,2.1
Chevrolet Cruze LTZ AT,Pune,2009,16,3.5
Hyundai i10 Era,Hyderabad,2007,18,2.0
Maruti Ertiga VDI,Delhi,2014,11,5.35
Honda Amaze S i-Dtech,Delhi,2013,12,3.8
Mercedes-Benz A Class A180 Sport,Mumbai,2016,9,17.25
Hyundai Grand i10 1.2 Kappa Magna,Kochi,2018,7,5.53
Hyundai i10 Sportz 1.2,Pune,2009,16,1.95
Maruti Swift DDiS ZDI Plus,Hyderabad,2017,8,8.2
Honda City 1.3 EXI,Pune,1999,26,0.9
Toyota Innova 2.5 GX (Diesel) 7 Seater,Pune,2013,12,6.5
Mini Cooper Countryman D High,Coimbatore,2014,11,19.41
Fiat Linea T-Jet Active,Coimbatore,2016,9,6.58
Chevrolet Aveo 1.4 LT,Mumbai,2011,14,2.1
Hyundai i10 Era 1.1,Chennai,2008,17,2.0
Hyundai Xcent 1.1 CRDi Base,Delhi,2015,10,3.7
Maruti Celerio VXI AT,Mumbai,2014,11,3.8
Hyundai i10 Sportz,Jaipur,2014,11,3.25
Renault Duster 85PS Diesel RxL,Coimbatore,2015,10,5.53
BMW 3 Series 320d,Ahmedabad,2011,14,10.9
Hyundai Grand i10 Sportz,Kolkata,2018,7,5.1
Chevrolet Spark 1.0 LS,Pune,2009,16,1.6
Honda City i VTEC VX Option,Ahmedabad,2018,7,11.25
Volkswagen Vento Diesel Highline,Chennai,2013,12,5.9
Toyota Fortuner 4x2 4 Speed AT,Delhi,2012,13,14.4
Honda City 1.5 S MT,Delhi,2011,14,3.6
BMW 5 Series 2013-2017 520d Luxury Line,Jaipur,2017,8,40.5
Audi Q5 30 TDI quattro Premium Plus,Bangalore,2014,11,38.95
Maruti Ritz LDi,Delhi,2014,11,3.6
Volkswagen Vento 1.5 TDI Highline AT,Kochi,2016,9,7.12
Honda City i DTEC SV,Kochi,2016,9,7.52
Audi A4 New 2.0 TDI Multitronic,Delhi,2012,13,10.35
Skoda Rapid 1.6 MPI Elegance,Hyderabad,2014,11,7.0
Toyota Fortuner 3.0 Diesel,Delhi,2011,14,10.85
Chevrolet Optra Magnum 2.0 LT BS3,Mumbai,2010,15,2.35
Maruti Eeco 7 Seater Standard,Mumbai,2014,11,2.9
Maruti Ciaz ZXi,Delhi,2017,8,7.65
Maruti Ciaz VDi Plus SHVS,Delhi,2016,9,6.4
Toyota Innova 2.5 LE 2014 Diesel 7 Seater,Pune,2014,11,10.1
Maruti Swift Dzire VXI,Kolkata,2014,11,4.25
Toyota Innova Crysta 2.8 GX AT,Kochi,2019,6,19.65
Tata Indica V2 eLX,Pune,2017,8,4.4
Hyundai i20 Magna,Jaipur,2012,13,3.25
Ford Fiesta 1.4 Duratorq ZXI,Pune,2012,13,2.8
Chevrolet Enjoy 1.3 TCDi LS 8,Kolkata,2015,10,4.3
Ford Fiesta 1.4 Duratorq EXI,Chennai,2006,19,1.55
Honda CR-V 2.4 MT,Chennai,2007,18,4.7
Honda Jazz 1.2 VX i VTEC,Kochi,2017,8,7.07
Mercedes-Benz GLS 350d Grand Edition,Delhi,2018,7,79.0
Hyundai Grand i10 1.2 Kappa Sportz,Delhi,2018,7,5.75
Maruti Ritz VXi,Mumbai,2012,13,3.25
Volkswagen Ameo 1.5 TDI Highline AT,Coimbatore,2017,8,8.89
Honda City i VTEC SV,Mumbai,2015,10,5.9
Honda Jazz 1.2 S i VTEC,Kolkata,2016,9,4.95
Maruti Swift Ldi BSIV,Delhi,2014,11,3.75
Hyundai Creta 1.6 CRDi AT SX Plus,Kochi,2017,8,10.97
Audi A7 2011-2015 3.0 TDI Quattro,Kochi,2014,11,24.94
Hyundai EON D Lite Plus,Kolkata,2014,11,1.97
Ford Figo Diesel EXI,Jaipur,2010,15,1.4
Volkswagen Ameo 1.2 MPI Highline,Coimbatore,2018,7,7.27
Renault Scala Diesel RxL,Kolkata,2013,12,4.0
Honda Jazz 1.2 V i VTEC,Kolkata,2015,10,4.75
Hyundai i20 1.2 Sportz,Delhi,2015,10,5.1
Audi A4 3.0 TDI Quattro Premium,Coimbatore,2012,13,16.11
Mahindra Ssangyong Rexton RX7,Delhi,2014,11,10.55
Toyota Fortuner 2.8 2WD AT,Ahmedabad,2017,8,30.0
Skoda Octavia Classic 1.9 TDI MT,Kolkata,2002,23,1.6
Mercedes-Benz New C-Class 250 CDI Classic,Hyderabad,2012,13,18.49
Maruti Ciaz 1.4 Zeta,Kochi,2018,7,9.96
Maruti Swift ZDi,Hyderabad,2013,12,4.75
Toyota Qualis FS B3,Bangalore,2002,23,3.65
BMW 5 Series 2007-2010 525d Sedan,Delhi,2012,13,15.5
Mitsubishi Pajero 2.8 SFX BSIII Dual Tone,Kochi,2013,12,11.82
Toyota Corolla H2,Delhi,2008,17,2.05
Maruti Omni E MPI STD BS IV,Mumbai,2013,12,2.25
Audi A6 2011-2015 2.0 TDI,Kochi,2014,11,20.12
Honda Jazz 1.5 S i DTEC,Coimbatore,2016,9,7.48
Mercedes-Benz E-Class 200 Kompressor Elegance,Mumbai,2004,21,5.5
Honda City 1.5 EXI,Jaipur,2005,20,1.7
Audi A4 2.0 TDI,Kochi,2013,12,13.19
Maruti Swift Dzire VXI,Mumbai,2012,13,3.85
Maruti Dzire VDI,Delhi,2016,9,5.75
Mahindra XUV500 W8 4WD,Pune,2014,11,9.0
Chevrolet Beat LT,Kochi,2012,13,2.21
Ford EcoSport 1.5 Diesel Titanium Plus,Kochi,2017,8,8.09
BMW 5 Series 2013-2017 530d M Sport,Coimbatore,2017,8,48.63
Audi Q5 30 TDI quattro Premium Plus,Coimbatore,2015,10,39.47
BMW X1 sDrive 20d xLine,Coimbatore,2015,10,22.24
Hyundai i10 Magna AT,Mumbai,2009,16,2.6
Hyundai Creta 1.6 CRDi AT SX Plus,Ahmedabad,2016,9,12.0
Audi A4 2.0 TDI 177 Bhp Premium Plus,Chennai,2014,11,18.0
Mercedes-Benz S Class 2005 2013 S 350 L,Mumbai,2007,18,9.99
Hyundai i10 Magna,Kolkata,2012,13,2.45
Ford EcoSport 1.5 Diesel Titanium,Mumbai,2017,8,8.99
Volkswagen Vento Diesel Highline,Kolkata,2011,14,3.15
Maruti Dzire ZDI Plus,Jaipur,2017,8,8.2
Mahindra Scorpio 1.99 S10,Ahmedabad,2016,9,11.5
Hyundai i20 Asta 1.4 CRDi,Coimbatore,2016,9,7.3
Maruti Alto LXi,Chennai,2008,17,1.59
Hyundai i10 Magna,Delhi,2015,10,3.15
Mahindra Scorpio S6 7 Seater,Kolkata,2015,10,8.5
Skoda Fabia 1.2L Diesel Classic,Hyderabad,2010,15,3.0
BMW X5 xDrive 30d,Mumbai,2012,13,21.0
Honda Jazz 1.5 S i DTEC,Hyderabad,2016,9,7.75
Mercedes-Benz E-Class 2009-2013 E 220 CDI Avantgarde,Mumbai,2013,12,23.0
Mahindra XUV500 AT W10 FWD,Mumbai,2016,9,13.75
Honda City i VTEC CVT SV,Kochi,2017,8,8.29
Maruti Swift VDI,Coimbatore,2014,11,5.79
Mercedes-Benz New C-Class 220 CDI AT,Coimbatore,2017,8,30.5
Honda City 1.5 S MT,Mumbai,2011,14,3.8
Tata Sumo EX,Bangalore,2014,11,4.45
Hyundai i20 Magna,Delhi,2012,13,3.3
Fiat Linea 1.3 Dynamic,Jaipur,2009,16,1.75
Honda Civic 2006-2010 1.8 V AT,Bangalore,2011,14,5.5
Hyundai Creta 1.6 SX Plus Diesel,Pune,2017,8,13.35
Audi A3 35 TDI Technology,Delhi,2017,8,22.5
Hyundai Verna VTVT 1.6 SX Option,Delhi,2013,12,5.25
Hyundai i20 1.4 CRDi Magna,Hyderabad,2011,14,3.75
Honda Mobilio S i DTEC,Kochi,2015,10,6.32
Hyundai Verna 1.6 SX CRDI (O) AT,Bangalore,2018,7,7.75
Ford Fiesta 1.6 ZXI Duratec,Chennai,2006,19,1.37
Hyundai i10 Sportz 1.2,Mumbai,2010,15,2.1
Maruti Vitara Brezza ZDi,Hyderabad,2016,9,9.3
Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,2015,10,12.0
Mercedes-Benz GLA Class 200 d Sport,Pune,2017,8,23.5
Maruti Alto LXi BSIII,Hyderabad,2006,19,1.8
Mercedes-Benz New C-Class C 220 CDI Elegance AT,Chennai,2013,12,12.5
Maruti Swift LDI,Delhi,2015,10,4.74
Hyundai Grand i10 Sportz,Kochi,2016,9,5.43
Toyota Fortuner 4x4 AT,Kochi,2018,7,31.62
Toyota Innova 2.0 GX 8 STR,Kolkata,2011,14,6.3
Ford EcoSport 1.5 TDCi Titanium,Kochi,2017,8,8.45
Ford Figo 1.2P Titanium MT,Pune,2016,9,5.0
Toyota Fortuner 3.0 Diesel,Chennai,2011,14,13.0
Maruti Swift Dzire VXI,Hyderabad,2012,13,4.7
BMW 7 Series 740Li,Coimbatore,2018,7,93.67
Skoda Superb 1.8 TSI MT,Pune,2012,13,3.3
Maruti Wagon R LXI Minor,Jaipur,2009,16,1.51
Renault Duster 110PS Diesel RxZ,Kochi,2013,12,6.09
Maruti Ciaz VXi Plus,Mumbai,2015,10,5.95
Hyundai Elantra CRDi SX,Hyderabad,2012,13,9.0
Skoda Rapid 1.5 TDI AT Elegance,Kolkata,2015,10,4.25
Mercedes-Benz New C-Class C 220 CDI Elegance AT,Hyderabad,2013,12,23.5
Honda Accord 2.4 A/T,Mumbai,2011,14,6.35
Maruti Celerio VXI,Chennai,2014,11,3.4
BMW 7 Series 740Li,Bangalore,2017,8,93.0
BMW 3 Series 320d Sport,Chennai,2014,11,21.6
Volkswagen Vento Diesel Trendline,Chennai,2011,14,4.0
Maruti Swift Dzire Tour LDI,Pune,2018,7,5.5
Land Rover Freelander 2 SE,Mumbai,2012,13,19.25
Hyundai i20 1.4 CRDi Magna,Hyderabad,2012,13,3.95
Maruti Dzire VDI,Mumbai,2012,13,4.25
Jeep Compass 2.0 Longitude,Kochi,2018,7,17.02
Maruti Ertiga VDI,Hyderabad,2012,13,6.5
Ford Figo Petrol ZXI,Bangalore,2011,14,2.95
Toyota Corolla Altis 1.4 DG,Coimbatore,2013,12,7.12
Maruti Vitara Brezza ZDi Plus AMT Dual Tone,Chennai,2018,7,11.25
Honda City 1.5 S MT,Delhi,2009,16,2.75
Mahindra Scorpio S10 4WD,Hyderabad,2015,10,12.0
Hyundai Xcent 1.2 VTVT SX,Mumbai,2014,11,3.67
Mahindra Renault Logan 1.4 GLX Petrol,Pune,2008,17,2.3
Skoda Octavia 1.9 TDI,Pune,2008,17,2.2
Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,Pune,2014,11,41.0
BMW X1 sDrive 20d xLine,Bangalore,2016,9,28.5
Volkswagen Vento 2013-2015 1.6 Comfortline,Mumbai,2015,10,5.49
Audi A4 2.0 TDI,Ahmedabad,2013,12,17.5
Ford Ikon 1.4 TDCi DuraTorq,Bangalore,2009,16,1.99
Hyundai Verna 1.6 CRDi EX MT,Kochi,2016,9,6.64
Toyota Innova Crysta 2.4 VX MT,Hyderabad,2017,8,16.5
Hyundai Grand i10 Asta Option,Pune,2016,9,5.0
Volkswagen Ameo 1.2 MPI Comfortline,Mumbai,2017,8,5.4
Renault KWID RXT,Kolkata,2017,8,2.99
Honda City 1.5 S MT,Jaipur,2011,14,4.1
Hyundai Grand i10 1.2 Kappa Magna AT,Kochi,2018,7,6.76
Volkswagen Polo 1.0 MPI Comfortline,Chennai,2016,9,5.5
Maruti Swift VDI BSIV,Coimbatore,2014,11,5.99
Nissan Sunny 2011-2014 Diesel XV,Delhi,2012,13,2.59
Jaguar XF 2.2 Litre Luxury,Mumbai,2013,12,26.75
Maruti Ciaz ZDi SHVS,Pune,2016,9,8.5
Audi Q5 2008-2012 2.0 TDI,Bangalore,2011,14,23.0
Ford Figo Petrol ZXI,Pune,2014,11,3.35
Hyundai Santa Fe 4x4 AT,Bangalore,2012,13,10.75
Mahindra Scorpio VLX 2WD AIRBAG BSIV,Kolkata,2013,12,6.29
Renault Duster 110PS Diesel RxL,Bangalore,2014,11,7.75
Audi A4 New 2.0 TDI Multitronic,Delhi,2012,13,13.5
Maruti Eeco 7 Seater Standard,Coimbatore,2013,12,3.75
Mahindra Xylo E4,Mumbai,2011,14,3.75
Maruti Wagon R LXI,Jaipur,2006,19,1.5
Maruti Wagon R LXI BSIII,Chennai,2005,20,1.45
Maruti SX4 ZXI MT BSIV,Coimbatore,2013,12,4.12
Toyota Innova Crysta 2.4 VX MT,Mumbai,2016,9,17.11
Toyota Innova 2.5 G (Diesel) 7 Seater,Pune,2015,10,10.25
Volkswagen Polo Diesel Trendline 1.2L,Kolkata,2011,14,2.49
Toyota Etios G,Pune,2015,10,3.85
Ford Ecosport 1.5 DV5 MT Titanium,Hyderabad,2014,11,6.25
Hyundai Grand i10 CRDi Magna,Hyderabad,2015,10,4.88
Honda City i VTEC CVT SV,Mumbai,2016,9,9.45
Toyota Innova 2.5 G3,Hyderabad,2007,18,4.8
Hyundai EON Era Plus,Kolkata,2012,13,1.99
Hyundai i10 Magna 1.2,Hyderabad,2010,15,2.8
Mercedes-Benz E-Class 2009-2013 E 200 CGI Elegance,Bangalore,2011,14,22.0
Mahindra Bolero SLE,Hyderabad,2012,13,4.3
Skoda Laura Ambition 2.0 TDI CR AT,Coimbatore,2014,11,9.75
Maruti Swift ZXI,Ahmedabad,2015,10,5.9
Audi A4 2.0 TDI,Delhi,2013,12,14.5
Ford Fiesta 1.4 SXi TDCi ABS,Hyderabad,2009,16,2.4
Maruti SX4 Vxi BSIII,Mumbai,2008,17,2.11
Hyundai Grand i10 AT Asta,Coimbatore,2017,8,7.6
Maruti Ritz AT,Hyderabad,2012,13,3.6
Mahindra Scorpio 2.6 CRDe,Jaipur,2013,12,6.0
Mahindra Scorpio S4 7 Seater,Mumbai,2014,11,7.45
Maruti Alto LXi,Chennai,2011,14,2.1
Renault Duster 110PS Diesel RxZ,Ahmedabad,2013,12,5.2
Maruti Ignis 1.2 Alpha,Mumbai,2017,8,6.36
Toyota Innova 2.5 ZX Diesel 7 Seater,Kochi,2015,10,11.62
BMW 7 Series 730Ld Eminence,Kochi,2015,10,43.6
Hyundai Sonata Embera 2.0L CRDi MT,Kolkata,2009,16,4.9
Renault Duster Adventure Edition,Kochi,2015,10,6.7
Audi A4 2.0 TDI 177 Bhp Technology Edition,Bangalore,2014,11,25.0
Jeep Compass 2.0 Longitude,Coimbatore,2018,7,19.05
Hyundai Verna 1.4 VTVT,Kolkata,2015,10,4.5
Honda Amaze VX i-Vtech,Pune,2013,12,4.15
Hyundai Creta 1.6 CRDi SX Option,Chennai,2015,10,11.9
Hyundai i10 Magna 1.1,Delhi,2011,14,2.1
Mahindra TUV 300 T8,Delhi,2016,9,6.95
Maruti Swift Dzire VXi,Pune,2008,17,2.4
Hyundai Accent GLE 1,Chennai,2007,18,2.65
